State;Violent Crime Rate;Date
AL;418.1;2013-01
AK;602.6;2013-01
AZ;405.8;2013-01
AR;445.7;2013-01
CA;396.2;2013-01
CO;291.2;2013-01
CT;254.5;2013-01
DE;479.1;2013-01
FL;460;2013-01
GA;359.7;2013-01
HI;245.3;2013-01
ID;204.7;2013-01
IL;372.5;2013-01
IN;349.9;2013-01
IA;260.9;2013-01
KS;327.5;2013-01
KY;198.8;2013-01
LA;510.4;2013-01
ME;121.6;2013-01
MD;467.8;2013-01
MA;404;2013-01
MI;429.8;2013-01
MN;223.2;2013-01
MS;267.4;2013-01
MO;422;2013-01
MT;240.7;2013-01
NE;252.2;2013-01
NV;591.2;2013-01
NH;199.6;2013-01
NJ;285.6;2013-01
NM;596.7;2013-01
NY;389.8;2013-01
NC;336.6;2013-01
ND;256.3;2013-01
OH;275.7;2013-01
OK;428.1;2013-01
OR;242.9;2013-01
PA;326.6;2013-01
RI;244.6;2013-01
SC;494.8;2013-01
SD;298.7;2013-01
TN;579.7;2013-01
TX;399.8;2013-01
UT;209.2;2013-01
VT;114.9;2013-01
VA;187.9;2013-01
WA;277.9;2013-01
WV;289.7;2013-01
WI;271.1;2013-01
WY;197.7;2013-01
AL;418.1;2013-02
AK;602.6;2013-02
AZ;405.8;2013-02
AR;445.7;2013-02
CA;396.2;2013-02
CO;291.2;2013-02
CT;254.5;2013-02
DE;479.1;2013-02
FL;460;2013-02
GA;359.7;2013-02
HI;245.3;2013-02
ID;204.7;2013-02
IL;372.5;2013-02
IN;349.9;2013-02
IA;260.9;2013-02
KS;327.5;2013-02
KY;198.8;2013-02
LA;510.4;2013-02
ME;121.6;2013-02
MD;467.8;2013-02
MA;404;2013-02
MI;429.8;2013-02
MN;223.2;2013-02
MS;267.4;2013-02
MO;422;2013-02
MT;240.7;2013-02
NE;252.2;2013-02
NV;591.2;2013-02
NH;199.6;2013-02
NJ;285.6;2013-02
NM;596.7;2013-02
NY;389.8;2013-02
NC;336.6;2013-02
ND;256.3;2013-02
OH;275.7;2013-02
OK;428.1;2013-02
OR;242.9;2013-02
PA;326.6;2013-02
RI;244.6;2013-02
SC;494.8;2013-02
SD;298.7;2013-02
TN;579.7;2013-02
TX;399.8;2013-02
UT;209.2;2013-02
VT;114.9;2013-02
VA;187.9;2013-02
WA;277.9;2013-02
WV;289.7;2013-02
WI;271.1;2013-02
WY;197.7;2013-02
AL;418.1;2013-03
AK;602.6;2013-03
AZ;405.8;2013-03
AR;445.7;2013-03
CA;396.2;2013-03
CO;291.2;2013-03
CT;254.5;2013-03
DE;479.1;2013-03
FL;460;2013-03
GA;359.7;2013-03
HI;245.3;2013-03
ID;204.7;2013-03
IL;372.5;2013-03
IN;349.9;2013-03
IA;260.9;2013-03
KS;327.5;2013-03
KY;198.8;2013-03
LA;510.4;2013-03
ME;121.6;2013-03
MD;467.8;2013-03
MA;404;2013-03
MI;429.8;2013-03
MN;223.2;2013-03
MS;267.4;2013-03
MO;422;2013-03
MT;240.7;2013-03
NE;252.2;2013-03
NV;591.2;2013-03
NH;199.6;2013-03
NJ;285.6;2013-03
NM;596.7;2013-03
NY;389.8;2013-03
NC;336.6;2013-03
ND;256.3;2013-03
OH;275.7;2013-03
OK;428.1;2013-03
OR;242.9;2013-03
PA;326.6;2013-03
RI;244.6;2013-03
SC;494.8;2013-03
SD;298.7;2013-03
TN;579.7;2013-03
TX;399.8;2013-03
UT;209.2;2013-03
VT;114.9;2013-03
VA;187.9;2013-03
WA;277.9;2013-03
WV;289.7;2013-03
WI;271.1;2013-03
WY;197.7;2013-03
AL;418.1;2013-04
AK;602.6;2013-04
AZ;405.8;2013-04
AR;445.7;2013-04
CA;396.2;2013-04
CO;291.2;2013-04
CT;254.5;2013-04
DE;479.1;2013-04
FL;460;2013-04
GA;359.7;2013-04
HI;245.3;2013-04
ID;204.7;2013-04
IL;372.5;2013-04
IN;349.9;2013-04
IA;260.9;2013-04
KS;327.5;2013-04
KY;198.8;2013-04
LA;510.4;2013-04
ME;121.6;2013-04
MD;467.8;2013-04
MA;404;2013-04
MI;429.8;2013-04
MN;223.2;2013-04
MS;267.4;2013-04
MO;422;2013-04
MT;240.7;2013-04
NE;252.2;2013-04
NV;591.2;2013-04
NH;199.6;2013-04
NJ;285.6;2013-04
NM;596.7;2013-04
NY;389.8;2013-04
NC;336.6;2013-04
ND;256.3;2013-04
OH;275.7;2013-04
OK;428.1;2013-04
OR;242.9;2013-04
PA;326.6;2013-04
RI;244.6;2013-04
SC;494.8;2013-04
SD;298.7;2013-04
TN;579.7;2013-04
TX;399.8;2013-04
UT;209.2;2013-04
VT;114.9;2013-04
VA;187.9;2013-04
WA;277.9;2013-04
WV;289.7;2013-04
WI;271.1;2013-04
WY;197.7;2013-04
AL;418.1;2013-05
AK;602.6;2013-05
AZ;405.8;2013-05
AR;445.7;2013-05
CA;396.2;2013-05
CO;291.2;2013-05
CT;254.5;2013-05
DE;479.1;2013-05
FL;460;2013-05
GA;359.7;2013-05
HI;245.3;2013-05
ID;204.7;2013-05
IL;372.5;2013-05
IN;349.9;2013-05
IA;260.9;2013-05
KS;327.5;2013-05
KY;198.8;2013-05
LA;510.4;2013-05
ME;121.6;2013-05
MD;467.8;2013-05
MA;404;2013-05
MI;429.8;2013-05
MN;223.2;2013-05
MS;267.4;2013-05
MO;422;2013-05
MT;240.7;2013-05
NE;252.2;2013-05
NV;591.2;2013-05
NH;199.6;2013-05
NJ;285.6;2013-05
NM;596.7;2013-05
NY;389.8;2013-05
NC;336.6;2013-05
ND;256.3;2013-05
OH;275.7;2013-05
OK;428.1;2013-05
OR;242.9;2013-05
PA;326.6;2013-05
RI;244.6;2013-05
SC;494.8;2013-05
SD;298.7;2013-05
TN;579.7;2013-05
TX;399.8;2013-05
UT;209.2;2013-05
VT;114.9;2013-05
VA;187.9;2013-05
WA;277.9;2013-05
WV;289.7;2013-05
WI;271.1;2013-05
WY;197.7;2013-05
AL;418.1;2013-06
AK;602.6;2013-06
AZ;405.8;2013-06
AR;445.7;2013-06
CA;396.2;2013-06
CO;291.2;2013-06
CT;254.5;2013-06
DE;479.1;2013-06
FL;460;2013-06
GA;359.7;2013-06
HI;245.3;2013-06
ID;204.7;2013-06
IL;372.5;2013-06
IN;349.9;2013-06
IA;260.9;2013-06
KS;327.5;2013-06
KY;198.8;2013-06
LA;510.4;2013-06
ME;121.6;2013-06
MD;467.8;2013-06
MA;404;2013-06
MI;429.8;2013-06
MN;223.2;2013-06
MS;267.4;2013-06
MO;422;2013-06
MT;240.7;2013-06
NE;252.2;2013-06
NV;591.2;2013-06
NH;199.6;2013-06
NJ;285.6;2013-06
NM;596.7;2013-06
NY;389.8;2013-06
NC;336.6;2013-06
ND;256.3;2013-06
OH;275.7;2013-06
OK;428.1;2013-06
OR;242.9;2013-06
PA;326.6;2013-06
RI;244.6;2013-06
SC;494.8;2013-06
SD;298.7;2013-06
TN;579.7;2013-06
TX;399.8;2013-06
UT;209.2;2013-06
VT;114.9;2013-06
VA;187.9;2013-06
WA;277.9;2013-06
WV;289.7;2013-06
WI;271.1;2013-06
WY;197.7;2013-06
AL;418.1;2013-07
AK;602.6;2013-07
AZ;405.8;2013-07
AR;445.7;2013-07
CA;396.2;2013-07
CO;291.2;2013-07
CT;254.5;2013-07
DE;479.1;2013-07
FL;460;2013-07
GA;359.7;2013-07
HI;245.3;2013-07
ID;204.7;2013-07
IL;372.5;2013-07
IN;349.9;2013-07
IA;260.9;2013-07
KS;327.5;2013-07
KY;198.8;2013-07
LA;510.4;2013-07
ME;121.6;2013-07
MD;467.8;2013-07
MA;404;2013-07
MI;429.8;2013-07
MN;223.2;2013-07
MS;267.4;2013-07
MO;422;2013-07
MT;240.7;2013-07
NE;252.2;2013-07
NV;591.2;2013-07
NH;199.6;2013-07
NJ;285.6;2013-07
NM;596.7;2013-07
NY;389.8;2013-07
NC;336.6;2013-07
ND;256.3;2013-07
OH;275.7;2013-07
OK;428.1;2013-07
OR;242.9;2013-07
PA;326.6;2013-07
RI;244.6;2013-07
SC;494.8;2013-07
SD;298.7;2013-07
TN;579.7;2013-07
TX;399.8;2013-07
UT;209.2;2013-07
VT;114.9;2013-07
VA;187.9;2013-07
WA;277.9;2013-07
WV;289.7;2013-07
WI;271.1;2013-07
WY;197.7;2013-07
AL;418.1;2013-08
AK;602.6;2013-08
AZ;405.8;2013-08
AR;445.7;2013-08
CA;396.2;2013-08
CO;291.2;2013-08
CT;254.5;2013-08
DE;479.1;2013-08
FL;460;2013-08
GA;359.7;2013-08
HI;245.3;2013-08
ID;204.7;2013-08
IL;372.5;2013-08
IN;349.9;2013-08
IA;260.9;2013-08
KS;327.5;2013-08
KY;198.8;2013-08
LA;510.4;2013-08
ME;121.6;2013-08
MD;467.8;2013-08
MA;404;2013-08
MI;429.8;2013-08
MN;223.2;2013-08
MS;267.4;2013-08
MO;422;2013-08
MT;240.7;2013-08
NE;252.2;2013-08
NV;591.2;2013-08
NH;199.6;2013-08
NJ;285.6;2013-08
NM;596.7;2013-08
NY;389.8;2013-08
NC;336.6;2013-08
ND;256.3;2013-08
OH;275.7;2013-08
OK;428.1;2013-08
OR;242.9;2013-08
PA;326.6;2013-08
RI;244.6;2013-08
SC;494.8;2013-08
SD;298.7;2013-08
TN;579.7;2013-08
TX;399.8;2013-08
UT;209.2;2013-08
VT;114.9;2013-08
VA;187.9;2013-08
WA;277.9;2013-08
WV;289.7;2013-08
WI;271.1;2013-08
WY;197.7;2013-08
AL;418.1;2013-09
AK;602.6;2013-09
AZ;405.8;2013-09
AR;445.7;2013-09
CA;396.2;2013-09
CO;291.2;2013-09
CT;254.5;2013-09
DE;479.1;2013-09
FL;460;2013-09
GA;359.7;2013-09
HI;245.3;2013-09
ID;204.7;2013-09
IL;372.5;2013-09
IN;349.9;2013-09
IA;260.9;2013-09
KS;327.5;2013-09
KY;198.8;2013-09
LA;510.4;2013-09
ME;121.6;2013-09
MD;467.8;2013-09
MA;404;2013-09
MI;429.8;2013-09
MN;223.2;2013-09
MS;267.4;2013-09
MO;422;2013-09
MT;240.7;2013-09
NE;252.2;2013-09
NV;591.2;2013-09
NH;199.6;2013-09
NJ;285.6;2013-09
NM;596.7;2013-09
NY;389.8;2013-09
NC;336.6;2013-09
ND;256.3;2013-09
OH;275.7;2013-09
OK;428.1;2013-09
OR;242.9;2013-09
PA;326.6;2013-09
RI;244.6;2013-09
SC;494.8;2013-09
SD;298.7;2013-09
TN;579.7;2013-09
TX;399.8;2013-09
UT;209.2;2013-09
VT;114.9;2013-09
VA;187.9;2013-09
WA;277.9;2013-09
WV;289.7;2013-09
WI;271.1;2013-09
WY;197.7;2013-09
AL;418.1;2013-10
AK;602.6;2013-10
AZ;405.8;2013-10
AR;445.7;2013-10
CA;396.2;2013-10
CO;291.2;2013-10
CT;254.5;2013-10
DE;479.1;2013-10
FL;460;2013-10
GA;359.7;2013-10
HI;245.3;2013-10
ID;204.7;2013-10
IL;372.5;2013-10
IN;349.9;2013-10
IA;260.9;2013-10
KS;327.5;2013-10
KY;198.8;2013-10
LA;510.4;2013-10
ME;121.6;2013-10
MD;467.8;2013-10
MA;404;2013-10
MI;429.8;2013-10
MN;223.2;2013-10
MS;267.4;2013-10
MO;422;2013-10
MT;240.7;2013-10
NE;252.2;2013-10
NV;591.2;2013-10
NH;199.6;2013-10
NJ;285.6;2013-10
NM;596.7;2013-10
NY;389.8;2013-10
NC;336.6;2013-10
ND;256.3;2013-10
OH;275.7;2013-10
OK;428.1;2013-10
OR;242.9;2013-10
PA;326.6;2013-10
RI;244.6;2013-10
SC;494.8;2013-10
SD;298.7;2013-10
TN;579.7;2013-10
TX;399.8;2013-10
UT;209.2;2013-10
VT;114.9;2013-10
VA;187.9;2013-10
WA;277.9;2013-10
WV;289.7;2013-10
WI;271.1;2013-10
WY;197.7;2013-10
AL;418.1;2013-11
AK;602.6;2013-11
AZ;405.8;2013-11
AR;445.7;2013-11
CA;396.2;2013-11
CO;291.2;2013-11
CT;254.5;2013-11
DE;479.1;2013-11
FL;460;2013-11
GA;359.7;2013-11
HI;245.3;2013-11
ID;204.7;2013-11
IL;372.5;2013-11
IN;349.9;2013-11
IA;260.9;2013-11
KS;327.5;2013-11
KY;198.8;2013-11
LA;510.4;2013-11
ME;121.6;2013-11
MD;467.8;2013-11
MA;404;2013-11
MI;429.8;2013-11
MN;223.2;2013-11
MS;267.4;2013-11
MO;422;2013-11
MT;240.7;2013-11
NE;252.2;2013-11
NV;591.2;2013-11
NH;199.6;2013-11
NJ;285.6;2013-11
NM;596.7;2013-11
NY;389.8;2013-11
NC;336.6;2013-11
ND;256.3;2013-11
OH;275.7;2013-11
OK;428.1;2013-11
OR;242.9;2013-11
PA;326.6;2013-11
RI;244.6;2013-11
SC;494.8;2013-11
SD;298.7;2013-11
TN;579.7;2013-11
TX;399.8;2013-11
UT;209.2;2013-11
VT;114.9;2013-11
VA;187.9;2013-11
WA;277.9;2013-11
WV;289.7;2013-11
WI;271.1;2013-11
WY;197.7;2013-11
AL;418.1;2013-12
AK;602.6;2013-12
AZ;405.8;2013-12
AR;445.7;2013-12
CA;396.2;2013-12
CO;291.2;2013-12
CT;254.5;2013-12
DE;479.1;2013-12
FL;460;2013-12
GA;359.7;2013-12
HI;245.3;2013-12
ID;204.7;2013-12
IL;372.5;2013-12
IN;349.9;2013-12
IA;260.9;2013-12
KS;327.5;2013-12
KY;198.8;2013-12
LA;510.4;2013-12
ME;121.6;2013-12
MD;467.8;2013-12
MA;404;2013-12
MI;429.8;2013-12
MN;223.2;2013-12
MS;267.4;2013-12
MO;422;2013-12
MT;240.7;2013-12
NE;252.2;2013-12
NV;591.2;2013-12
NH;199.6;2013-12
NJ;285.6;2013-12
NM;596.7;2013-12
NY;389.8;2013-12
NC;336.6;2013-12
ND;256.3;2013-12
OH;275.7;2013-12
OK;428.1;2013-12
OR;242.9;2013-12
PA;326.6;2013-12
RI;244.6;2013-12
SC;494.8;2013-12
SD;298.7;2013-12
TN;579.7;2013-12
TX;399.8;2013-12
UT;209.2;2013-12
VT;114.9;2013-12
VA;187.9;2013-12
WA;277.9;2013-12
WV;289.7;2013-12
WI;271.1;2013-12
WY;197.7;2013-12
AL;427.4;2014-01
AK;635.8;2014-01
AZ;399.9;2014-01
AR;480.1;2014-01
CA;396.1;2014-01
CO;309.1;2014-01
CT;236.9;2014-01
DE;489.1;2014-01
FL;540.5;2014-01
GA;377.3;2014-01
HI;259.2;2014-01
ID;212.2;2014-01
IL;370;2014-01
IN;365.3;2014-01
IA;273.5;2014-01
KS;348.6;2014-01
KY;211.6;2014-01
LA;514.7;2014-01
ME;127.8;2014-01
MD;446.1;2014-01
MA;391.4;2014-01
MI;427.3;2014-01
MN;229.1;2014-01
MS;278.5;2014-01
MO;442.9;2014-01
MT;323.7;2014-01
NE;280.4;2014-01
NV;635.6;2014-01
NH;196.1;2014-01
NJ;261.2;2014-01
NM;597.4;2014-01
NY;381.8;2014-01
NC;329.5;2014-01
ND;265.1;2014-01
OH;284.9;2014-01
OK;406;2014-01
OR;232.3;2014-01
PA;314.1;2014-01
RI;219.2;2014-01
SC;497.7;2014-01
SD;326.5;2014-01
TN;608.4;2014-01
TX;405.9;2014-01
UT;215.6;2014-01
VT;99.3;2014-01
VA;196.2;2014-01
WA;285.2;2014-01
WV;302;2014-01
WI;290.3;2014-01
WY;195.5;2014-01
AL;427.4;2014-02
AK;635.8;2014-02
AZ;399.9;2014-02
AR;480.1;2014-02
CA;396.1;2014-02
CO;309.1;2014-02
CT;236.9;2014-02
DE;489.1;2014-02
FL;540.5;2014-02
GA;377.3;2014-02
HI;259.2;2014-02
ID;212.2;2014-02
IL;370;2014-02
IN;365.3;2014-02
IA;273.5;2014-02
KS;348.6;2014-02
KY;211.6;2014-02
LA;514.7;2014-02
ME;127.8;2014-02
MD;446.1;2014-02
MA;391.4;2014-02
MI;427.3;2014-02
MN;229.1;2014-02
MS;278.5;2014-02
MO;442.9;2014-02
MT;323.7;2014-02
NE;280.4;2014-02
NV;635.6;2014-02
NH;196.1;2014-02
NJ;261.2;2014-02
NM;597.4;2014-02
NY;381.8;2014-02
NC;329.5;2014-02
ND;265.1;2014-02
OH;284.9;2014-02
OK;406;2014-02
OR;232.3;2014-02
PA;314.1;2014-02
RI;219.2;2014-02
SC;497.7;2014-02
SD;326.5;2014-02
TN;608.4;2014-02
TX;405.9;2014-02
UT;215.6;2014-02
VT;99.3;2014-02
VA;196.2;2014-02
WA;285.2;2014-02
WV;302;2014-02
WI;290.3;2014-02
WY;195.5;2014-02
AL;427.4;2014-03
AK;635.8;2014-03
AZ;399.9;2014-03
AR;480.1;2014-03
CA;396.1;2014-03
CO;309.1;2014-03
CT;236.9;2014-03
DE;489.1;2014-03
FL;540.5;2014-03
GA;377.3;2014-03
HI;259.2;2014-03
ID;212.2;2014-03
IL;370;2014-03
IN;365.3;2014-03
IA;273.5;2014-03
KS;348.6;2014-03
KY;211.6;2014-03
LA;514.7;2014-03
ME;127.8;2014-03
MD;446.1;2014-03
MA;391.4;2014-03
MI;427.3;2014-03
MN;229.1;2014-03
MS;278.5;2014-03
MO;442.9;2014-03
MT;323.7;2014-03
NE;280.4;2014-03
NV;635.6;2014-03
NH;196.1;2014-03
NJ;261.2;2014-03
NM;597.4;2014-03
NY;381.8;2014-03
NC;329.5;2014-03
ND;265.1;2014-03
OH;284.9;2014-03
OK;406;2014-03
OR;232.3;2014-03
PA;314.1;2014-03
RI;219.2;2014-03
SC;497.7;2014-03
SD;326.5;2014-03
TN;608.4;2014-03
TX;405.9;2014-03
UT;215.6;2014-03
VT;99.3;2014-03
VA;196.2;2014-03
WA;285.2;2014-03
WV;302;2014-03
WI;290.3;2014-03
WY;195.5;2014-03
AL;427.4;2014-04
AK;635.8;2014-04
AZ;399.9;2014-04
AR;480.1;2014-04
CA;396.1;2014-04
CO;309.1;2014-04
CT;236.9;2014-04
DE;489.1;2014-04
FL;540.5;2014-04
GA;377.3;2014-04
HI;259.2;2014-04
ID;212.2;2014-04
IL;370;2014-04
IN;365.3;2014-04
IA;273.5;2014-04
KS;348.6;2014-04
KY;211.6;2014-04
LA;514.7;2014-04
ME;127.8;2014-04
MD;446.1;2014-04
MA;391.4;2014-04
MI;427.3;2014-04
MN;229.1;2014-04
MS;278.5;2014-04
MO;442.9;2014-04
MT;323.7;2014-04
NE;280.4;2014-04
NV;635.6;2014-04
NH;196.1;2014-04
NJ;261.2;2014-04
NM;597.4;2014-04
NY;381.8;2014-04
NC;329.5;2014-04
ND;265.1;2014-04
OH;284.9;2014-04
OK;406;2014-04
OR;232.3;2014-04
PA;314.1;2014-04
RI;219.2;2014-04
SC;497.7;2014-04
SD;326.5;2014-04
TN;608.4;2014-04
TX;405.9;2014-04
UT;215.6;2014-04
VT;99.3;2014-04
VA;196.2;2014-04
WA;285.2;2014-04
WV;302;2014-04
WI;290.3;2014-04
WY;195.5;2014-04
AL;427.4;2014-05
AK;635.8;2014-05
AZ;399.9;2014-05
AR;480.1;2014-05
CA;396.1;2014-05
CO;309.1;2014-05
CT;236.9;2014-05
DE;489.1;2014-05
FL;540.5;2014-05
GA;377.3;2014-05
HI;259.2;2014-05
ID;212.2;2014-05
IL;370;2014-05
IN;365.3;2014-05
IA;273.5;2014-05
KS;348.6;2014-05
KY;211.6;2014-05
LA;514.7;2014-05
ME;127.8;2014-05
MD;446.1;2014-05
MA;391.4;2014-05
MI;427.3;2014-05
MN;229.1;2014-05
MS;278.5;2014-05
MO;442.9;2014-05
MT;323.7;2014-05
NE;280.4;2014-05
NV;635.6;2014-05
NH;196.1;2014-05
NJ;261.2;2014-05
NM;597.4;2014-05
NY;381.8;2014-05
NC;329.5;2014-05
ND;265.1;2014-05
OH;284.9;2014-05
OK;406;2014-05
OR;232.3;2014-05
PA;314.1;2014-05
RI;219.2;2014-05
SC;497.7;2014-05
SD;326.5;2014-05
TN;608.4;2014-05
TX;405.9;2014-05
UT;215.6;2014-05
VT;99.3;2014-05
VA;196.2;2014-05
WA;285.2;2014-05
WV;302;2014-05
WI;290.3;2014-05
WY;195.5;2014-05
AL;427.4;2014-06
AK;635.8;2014-06
AZ;399.9;2014-06
AR;480.1;2014-06
CA;396.1;2014-06
CO;309.1;2014-06
CT;236.9;2014-06
DE;489.1;2014-06
FL;540.5;2014-06
GA;377.3;2014-06
HI;259.2;2014-06
ID;212.2;2014-06
IL;370;2014-06
IN;365.3;2014-06
IA;273.5;2014-06
KS;348.6;2014-06
KY;211.6;2014-06
LA;514.7;2014-06
ME;127.8;2014-06
MD;446.1;2014-06
MA;391.4;2014-06
MI;427.3;2014-06
MN;229.1;2014-06
MS;278.5;2014-06
MO;442.9;2014-06
MT;323.7;2014-06
NE;280.4;2014-06
NV;635.6;2014-06
NH;196.1;2014-06
NJ;261.2;2014-06
NM;597.4;2014-06
NY;381.8;2014-06
NC;329.5;2014-06
ND;265.1;2014-06
OH;284.9;2014-06
OK;406;2014-06
OR;232.3;2014-06
PA;314.1;2014-06
RI;219.2;2014-06
SC;497.7;2014-06
SD;326.5;2014-06
TN;608.4;2014-06
TX;405.9;2014-06
UT;215.6;2014-06
VT;99.3;2014-06
VA;196.2;2014-06
WA;285.2;2014-06
WV;302;2014-06
WI;290.3;2014-06
WY;195.5;2014-06
AL;427.4;2014-07
AK;635.8;2014-07
AZ;399.9;2014-07
AR;480.1;2014-07
CA;396.1;2014-07
CO;309.1;2014-07
CT;236.9;2014-07
DE;489.1;2014-07
FL;540.5;2014-07
GA;377.3;2014-07
HI;259.2;2014-07
ID;212.2;2014-07
IL;370;2014-07
IN;365.3;2014-07
IA;273.5;2014-07
KS;348.6;2014-07
KY;211.6;2014-07
LA;514.7;2014-07
ME;127.8;2014-07
MD;446.1;2014-07
MA;391.4;2014-07
MI;427.3;2014-07
MN;229.1;2014-07
MS;278.5;2014-07
MO;442.9;2014-07
MT;323.7;2014-07
NE;280.4;2014-07
NV;635.6;2014-07
NH;196.1;2014-07
NJ;261.2;2014-07
NM;597.4;2014-07
NY;381.8;2014-07
NC;329.5;2014-07
ND;265.1;2014-07
OH;284.9;2014-07
OK;406;2014-07
OR;232.3;2014-07
PA;314.1;2014-07
RI;219.2;2014-07
SC;497.7;2014-07
SD;326.5;2014-07
TN;608.4;2014-07
TX;405.9;2014-07
UT;215.6;2014-07
VT;99.3;2014-07
VA;196.2;2014-07
WA;285.2;2014-07
WV;302;2014-07
WI;290.3;2014-07
WY;195.5;2014-07
AL;427.4;2014-08
AK;635.8;2014-08
AZ;399.9;2014-08
AR;480.1;2014-08
