State;Violent Crime Rate;Date
CA;396.1;2014-08
CO;309.1;2014-08
CT;236.9;2014-08
DE;489.1;2014-08
FL;540.5;2014-08
GA;377.3;2014-08
HI;259.2;2014-08
ID;212.2;2014-08
IL;370;2014-08
IN;365.3;2014-08
IA;273.5;2014-08
KS;348.6;2014-08
KY;211.6;2014-08
LA;514.7;2014-08
ME;127.8;2014-08
MD;446.1;2014-08
MA;391.4;2014-08
MI;427.3;2014-08
MN;229.1;2014-08
MS;278.5;2014-08
MO;442.9;2014-08
MT;323.7;2014-08
NE;280.4;2014-08
NV;635.6;2014-08
NH;196.1;2014-08
NJ;261.2;2014-08
NM;597.4;2014-08
NY;381.8;2014-08
NC;329.5;2014-08
ND;265.1;2014-08
OH;284.9;2014-08
OK;406;2014-08
OR;232.3;2014-08
PA;314.1;2014-08
RI;219.2;2014-08
SC;497.7;2014-08
SD;326.5;2014-08
TN;608.4;2014-08
TX;405.9;2014-08
UT;215.6;2014-08
VT;99.3;2014-08
VA;196.2;2014-08
WA;285.2;2014-08
WV;302;2014-08
WI;290.3;2014-08
WY;195.5;2014-08
AL;427.4;2014-09
AK;635.8;2014-09
AZ;399.9;2014-09
AR;480.1;2014-09
CA;396.1;2014-09
CO;309.1;2014-09
CT;236.9;2014-09
DE;489.1;2014-09
FL;540.5;2014-09
GA;377.3;2014-09
HI;259.2;2014-09
ID;212.2;2014-09
IL;370;2014-09
IN;365.3;2014-09
IA;273.5;2014-09
KS;348.6;2014-09
KY;211.6;2014-09
LA;514.7;2014-09
ME;127.8;2014-09
MD;446.1;2014-09
MA;391.4;2014-09
MI;427.3;2014-09
MN;229.1;2014-09
MS;278.5;2014-09
MO;442.9;2014-09
MT;323.7;2014-09
NE;280.4;2014-09
NV;635.6;2014-09
NH;196.1;2014-09
NJ;261.2;2014-09
NM;597.4;2014-09
NY;381.8;2014-09
NC;329.5;2014-09
ND;265.1;2014-09
OH;284.9;2014-09
OK;406;2014-09
OR;232.3;2014-09
PA;314.1;2014-09
RI;219.2;2014-09
SC;497.7;2014-09
SD;326.5;2014-09
TN;608.4;2014-09
TX;405.9;2014-09
UT;215.6;2014-09
VT;99.3;2014-09
VA;196.2;2014-09
WA;285.2;2014-09
WV;302;2014-09
WI;290.3;2014-09
WY;195.5;2014-09
AL;427.4;2014-10
AK;635.8;2014-10
AZ;399.9;2014-10
AR;480.1;2014-10
CA;396.1;2014-10
CO;309.1;2014-10
CT;236.9;2014-10
DE;489.1;2014-10
FL;540.5;2014-10
GA;377.3;2014-10
HI;259.2;2014-10
ID;212.2;2014-10
IL;370;2014-10
IN;365.3;2014-10
IA;273.5;2014-10
KS;348.6;2014-10
KY;211.6;2014-10
LA;514.7;2014-10
ME;127.8;2014-10
MD;446.1;2014-10
MA;391.4;2014-10
MI;427.3;2014-10
MN;229.1;2014-10
MS;278.5;2014-10
MO;442.9;2014-10
MT;323.7;2014-10
NE;280.4;2014-10
NV;635.6;2014-10
NH;196.1;2014-10
NJ;261.2;2014-10
NM;597.4;2014-10
NY;381.8;2014-10
NC;329.5;2014-10
ND;265.1;2014-10
OH;284.9;2014-10
OK;406;2014-10
OR;232.3;2014-10
PA;314.1;2014-10
RI;219.2;2014-10
SC;497.7;2014-10
SD;326.5;2014-10
TN;608.4;2014-10
TX;405.9;2014-10
UT;215.6;2014-10
VT;99.3;2014-10
VA;196.2;2014-10
WA;285.2;2014-10
WV;302;2014-10
WI;290.3;2014-10
WY;195.5;2014-10
AL;427.4;2014-11
AK;635.8;2014-11
AZ;399.9;2014-11
AR;480.1;2014-11
CA;396.1;2014-11
CO;309.1;2014-11
CT;236.9;2014-11
DE;489.1;2014-11
FL;540.5;2014-11
GA;377.3;2014-11
HI;259.2;2014-11
ID;212.2;2014-11
IL;370;2014-11
IN;365.3;2014-11
IA;273.5;2014-11
KS;348.6;2014-11
KY;211.6;2014-11
LA;514.7;2014-11
ME;127.8;2014-11
MD;446.1;2014-11
MA;391.4;2014-11
MI;427.3;2014-11
MN;229.1;2014-11
MS;278.5;2014-11
MO;442.9;2014-11
MT;323.7;2014-11
NE;280.4;2014-11
NV;635.6;2014-11
NH;196.1;2014-11
NJ;261.2;2014-11
NM;597.4;2014-11
NY;381.8;2014-11
NC;329.5;2014-11
ND;265.1;2014-11
OH;284.9;2014-11
OK;406;2014-11
OR;232.3;2014-11
PA;314.1;2014-11
RI;219.2;2014-11
SC;497.7;2014-11
SD;326.5;2014-11
TN;608.4;2014-11
TX;405.9;2014-11
UT;215.6;2014-11
VT;99.3;2014-11
VA;196.2;2014-11
WA;285.2;2014-11
WV;302;2014-11
WI;290.3;2014-11
WY;195.5;2014-11
AL;427.4;2014-12
AK;635.8;2014-12
AZ;399.9;2014-12
AR;480.1;2014-12
CA;396.1;2014-12
CO;309.1;2014-12
CT;236.9;2014-12
DE;489.1;2014-12
FL;540.5;2014-12
GA;377.3;2014-12
HI;259.2;2014-12
ID;212.2;2014-12
IL;370;2014-12
IN;365.3;2014-12
IA;273.5;2014-12
KS;348.6;2014-12
KY;211.6;2014-12
LA;514.7;2014-12
ME;127.8;2014-12
MD;446.1;2014-12
MA;391.4;2014-12
MI;427.3;2014-12
MN;229.1;2014-12
MS;278.5;2014-12
MO;442.9;2014-12
MT;323.7;2014-12
NE;280.4;2014-12
NV;635.6;2014-12
NH;196.1;2014-12
NJ;261.2;2014-12
NM;597.4;2014-12
NY;381.8;2014-12
NC;329.5;2014-12
ND;265.1;2014-12
OH;284.9;2014-12
OK;406;2014-12
OR;232.3;2014-12
PA;314.1;2014-12
RI;219.2;2014-12
SC;497.7;2014-12
SD;326.5;2014-12
TN;608.4;2014-12
TX;405.9;2014-12
UT;215.6;2014-12
VT;99.3;2014-12
VA;196.2;2014-12
WA;285.2;2014-12
WV;302;2014-12
WI;290.3;2014-12
WY;195.5;2014-12
AL;472.4;2015-01
AK;730.2;2015-01
AZ;410.2;2015-01
AR;521.3;2015-01
CA;426.3;2015-01
CO;321;2015-01
CT;218.5;2015-01
DE;499;2015-01
FL;461.9;2015-01
GA;378.3;2015-01
HI;293.4;2015-01
ID;215.6;2015-01
IL;383.8;2015-01
IN;387.5;2015-01
IA;286.1;2015-01
KS;389.9;2015-01
KY;218.7;2015-01
LA;539.7;2015-01
ME;130.1;2015-01
MD;457.2;2015-01
MA;390.9;2015-01
MI;415.5;2015-01
MN;242.6;2015-01
MS;275.8;2015-01
MO;497.4;2015-01
MT;349.6;2015-01
NE;274.9;2015-01
NV;695.9;2015-01
NH;199.3;2015-01
NJ;255.4;2015-01
NM;656.1;2015-01
NY;379.7;2015-01
NC;347;2015-01
ND;239.4;2015-01
OH;291.9;2015-01
OK;422;2015-01
OR;259.8;2015-01
PA;315.1;2015-01
RI;242.5;2015-01
SC;504.5;2015-01
SD;383.1;2015-01
TN;612.1;2015-01
TX;412.2;2015-01
UT;236;2015-01
VT;118;2015-01
VA;195.6;2015-01
WA;284.4;2015-01
WV;337.9;2015-01
WI;305.8;2015-01
WY;222.1;2015-01
AL;472.4;2015-02
AK;730.2;2015-02
AZ;410.2;2015-02
AR;521.3;2015-02
CA;426.3;2015-02
CO;321;2015-02
CT;218.5;2015-02
DE;499;2015-02
FL;461.9;2015-02
GA;378.3;2015-02
HI;293.4;2015-02
ID;215.6;2015-02
IL;383.8;2015-02
IN;387.5;2015-02
IA;286.1;2015-02
KS;389.9;2015-02
KY;218.7;2015-02
LA;539.7;2015-02
ME;130.1;2015-02
MD;457.2;2015-02
MA;390.9;2015-02
MI;415.5;2015-02
MN;242.6;2015-02
MS;275.8;2015-02
MO;497.4;2015-02
MT;349.6;2015-02
NE;274.9;2015-02
NV;695.9;2015-02
NH;199.3;2015-02
NJ;255.4;2015-02
NM;656.1;2015-02
NY;379.7;2015-02
NC;347;2015-02
ND;239.4;2015-02
OH;291.9;2015-02
OK;422;2015-02
OR;259.8;2015-02
PA;315.1;2015-02
RI;242.5;2015-02
SC;504.5;2015-02
SD;383.1;2015-02
TN;612.1;2015-02
TX;412.2;2015-02
UT;236;2015-02
VT;118;2015-02
VA;195.6;2015-02
WA;284.4;2015-02
WV;337.9;2015-02
WI;305.8;2015-02
WY;222.1;2015-02
AL;472.4;2015-03
AK;730.2;2015-03
AZ;410.2;2015-03
AR;521.3;2015-03
CA;426.3;2015-03
CO;321;2015-03
CT;218.5;2015-03
DE;499;2015-03
FL;461.9;2015-03
GA;378.3;2015-03
HI;293.4;2015-03
ID;215.6;2015-03
IL;383.8;2015-03
IN;387.5;2015-03
IA;286.1;2015-03
KS;389.9;2015-03
KY;218.7;2015-03
LA;539.7;2015-03
ME;130.1;2015-03
MD;457.2;2015-03
MA;390.9;2015-03
MI;415.5;2015-03
MN;242.6;2015-03
MS;275.8;2015-03
MO;497.4;2015-03
MT;349.6;2015-03
NE;274.9;2015-03
NV;695.9;2015-03
NH;199.3;2015-03
NJ;255.4;2015-03
NM;656.1;2015-03
NY;379.7;2015-03
NC;347;2015-03
ND;239.4;2015-03
OH;291.9;2015-03
OK;422;2015-03
OR;259.8;2015-03
PA;315.1;2015-03
RI;242.5;2015-03
SC;504.5;2015-03
SD;383.1;2015-03
TN;612.1;2015-03
TX;412.2;2015-03
UT;236;2015-03
VT;118;2015-03
VA;195.6;2015-03
WA;284.4;2015-03
WV;337.9;2015-03
WI;305.8;2015-03
WY;222.1;2015-03
AL;472.4;2015-04
AK;730.2;2015-04
AZ;410.2;2015-04
AR;521.3;2015-04
CA;426.3;2015-04
CO;321;2015-04
CT;218.5;2015-04
DE;499;2015-04
FL;461.9;2015-04
GA;378.3;2015-04
HI;293.4;2015-04
ID;215.6;2015-04
IL;383.8;2015-04
IN;387.5;2015-04
IA;286.1;2015-04
KS;389.9;2015-04
KY;218.7;2015-04
LA;539.7;2015-04
ME;130.1;2015-04
MD;457.2;2015-04
MA;390.9;2015-04
MI;415.5;2015-04
MN;242.6;2015-04
MS;275.8;2015-04
MO;497.4;2015-04
MT;349.6;2015-04
NE;274.9;2015-04
NV;695.9;2015-04
NH;199.3;2015-04
NJ;255.4;2015-04
NM;656.1;2015-04
NY;379.7;2015-04
NC;347;2015-04
ND;239.4;2015-04
OH;291.9;2015-04
OK;422;2015-04
OR;259.8;2015-04
PA;315.1;2015-04
RI;242.5;2015-04
SC;504.5;2015-04
SD;383.1;2015-04
TN;612.1;2015-04
TX;412.2;2015-04
UT;236;2015-04
VT;118;2015-04
VA;195.6;2015-04
WA;284.4;2015-04
WV;337.9;2015-04
WI;305.8;2015-04
WY;222.1;2015-04
AL;472.4;2015-05
AK;730.2;2015-05
AZ;410.2;2015-05
AR;521.3;2015-05
CA;426.3;2015-05
CO;321;2015-05
CT;218.5;2015-05
DE;499;2015-05
FL;461.9;2015-05
GA;378.3;2015-05
HI;293.4;2015-05
ID;215.6;2015-05
IL;383.8;2015-05
IN;387.5;2015-05
IA;286.1;2015-05
KS;389.9;2015-05
KY;218.7;2015-05
LA;539.7;2015-05
ME;130.1;2015-05
MD;457.2;2015-05
MA;390.9;2015-05
MI;415.5;2015-05
MN;242.6;2015-05
MS;275.8;2015-05
MO;497.4;2015-05
MT;349.6;2015-05
NE;274.9;2015-05
NV;695.9;2015-05
NH;199.3;2015-05
NJ;255.4;2015-05
NM;656.1;2015-05
NY;379.7;2015-05
NC;347;2015-05
ND;239.4;2015-05
OH;291.9;2015-05
OK;422;2015-05
OR;259.8;2015-05
PA;315.1;2015-05
RI;242.5;2015-05
SC;504.5;2015-05
SD;383.1;2015-05
TN;612.1;2015-05
TX;412.2;2015-05
UT;236;2015-05
VT;118;2015-05
VA;195.6;2015-05
WA;284.4;2015-05
WV;337.9;2015-05
WI;305.8;2015-05
WY;222.1;2015-05
AL;472.4;2015-06
AK;730.2;2015-06
AZ;410.2;2015-06
AR;521.3;2015-06
CA;426.3;2015-06
CO;321;2015-06
CT;218.5;2015-06
DE;499;2015-06
FL;461.9;2015-06
GA;378.3;2015-06
HI;293.4;2015-06
ID;215.6;2015-06
IL;383.8;2015-06
IN;387.5;2015-06
IA;286.1;2015-06
KS;389.9;2015-06
KY;218.7;2015-06
LA;539.7;2015-06
ME;130.1;2015-06
MD;457.2;2015-06
MA;390.9;2015-06
MI;415.5;2015-06
MN;242.6;2015-06
MS;275.8;2015-06
MO;497.4;2015-06
MT;349.6;2015-06
NE;274.9;2015-06
NV;695.9;2015-06
NH;199.3;2015-06
NJ;255.4;2015-06
NM;656.1;2015-06
NY;379.7;2015-06
NC;347;2015-06
ND;239.4;2015-06
OH;291.9;2015-06
OK;422;2015-06
OR;259.8;2015-06
PA;315.1;2015-06
RI;242.5;2015-06
SC;504.5;2015-06
SD;383.1;2015-06
TN;612.1;2015-06
TX;412.2;2015-06
UT;236;2015-06
VT;118;2015-06
VA;195.6;2015-06
WA;284.4;2015-06
WV;337.9;2015-06
WI;305.8;2015-06
WY;222.1;2015-06
AL;472.4;2015-07
AK;730.2;2015-07
AZ;410.2;2015-07
AR;521.3;2015-07
CA;426.3;2015-07
CO;321;2015-07
CT;218.5;2015-07
DE;499;2015-07
FL;461.9;2015-07
GA;378.3;2015-07
HI;293.4;2015-07
ID;215.6;2015-07
IL;383.8;2015-07
IN;387.5;2015-07
IA;286.1;2015-07
KS;389.9;2015-07
KY;218.7;2015-07
LA;539.7;2015-07
ME;130.1;2015-07
MD;457.2;2015-07
MA;390.9;2015-07
MI;415.5;2015-07
MN;242.6;2015-07
MS;275.8;2015-07
MO;497.4;2015-07
MT;349.6;2015-07
NE;274.9;2015-07
NV;695.9;2015-07
NH;199.3;2015-07
NJ;255.4;2015-07
NM;656.1;2015-07
NY;379.7;2015-07
NC;347;2015-07
ND;239.4;2015-07
OH;291.9;2015-07
OK;422;2015-07
OR;259.8;2015-07
PA;315.1;2015-07
RI;242.5;2015-07
SC;504.5;2015-07
SD;383.1;2015-07
TN;612.1;2015-07
TX;412.2;2015-07
UT;236;2015-07
VT;118;2015-07
VA;195.6;2015-07
WA;284.4;2015-07
WV;337.9;2015-07
WI;305.8;2015-07
WY;222.1;2015-07
AL;472.4;2015-08
AK;730.2;2015-08
AZ;410.2;2015-08
AR;521.3;2015-08
CA;426.3;2015-08
CO;321;2015-08
CT;218.5;2015-08
DE;499;2015-08
FL;461.9;2015-08
GA;378.3;2015-08
HI;293.4;2015-08
ID;215.6;2015-08
IL;383.8;2015-08
IN;387.5;2015-08
IA;286.1;2015-08
KS;389.9;2015-08
KY;218.7;2015-08
LA;539.7;2015-08
ME;130.1;2015-08
MD;457.2;2015-08
MA;390.9;2015-08
MI;415.5;2015-08
MN;242.6;2015-08
MS;275.8;2015-08
MO;497.4;2015-08
MT;349.6;2015-08
NE;274.9;2015-08
NV;695.9;2015-08
NH;199.3;2015-08
NJ;255.4;2015-08
NM;656.1;2015-08
NY;379.7;2015-08
NC;347;2015-08
ND;239.4;2015-08
OH;291.9;2015-08
OK;422;2015-08
OR;259.8;2015-08
PA;315.1;2015-08
RI;242.5;2015-08
SC;504.5;2015-08
SD;383.1;2015-08
TN;612.1;2015-08
TX;412.2;2015-08
UT;236;2015-08
VT;118;2015-08
VA;195.6;2015-08
WA;284.4;2015-08
WV;337.9;2015-08
WI;305.8;2015-08
WY;222.1;2015-08
AL;472.4;2015-09
AK;730.2;2015-09
AZ;410.2;2015-09
AR;521.3;2015-09
CA;426.3;2015-09
CO;321;2015-09
CT;218.5;2015-09
DE;499;2015-09
FL;461.9;2015-09
GA;378.3;2015-09
HI;293.4;2015-09
ID;215.6;2015-09
IL;383.8;2015-09
IN;387.5;2015-09
IA;286.1;2015-09
KS;389.9;2015-09
KY;218.7;2015-09
LA;539.7;2015-09
ME;130.1;2015-09
MD;457.2;2015-09
MA;390.9;2015-09
MI;415.5;2015-09
MN;242.6;2015-09
MS;275.8;2015-09
MO;497.4;2015-09
MT;349.6;2015-09
NE;274.9;2015-09
NV;695.9;2015-09
NH;199.3;2015-09
NJ;255.4;2015-09
NM;656.1;2015-09
NY;379.7;2015-09
NC;347;2015-09
ND;239.4;2015-09
OH;291.9;2015-09
OK;422;2015-09
OR;259.8;2015-09
PA;315.1;2015-09
RI;242.5;2015-09
SC;504.5;2015-09
SD;383.1;2015-09
TN;612.1;2015-09
TX;412.2;2015-09
UT;236;2015-09
VT;118;2015-09
VA;195.6;2015-09
WA;284.4;2015-09
WV;337.9;2015-09
WI;305.8;2015-09
WY;222.1;2015-09
AL;472.4;2015-10
AK;730.2;2015-10
AZ;410.2;2015-10
AR;521.3;2015-10
CA;426.3;2015-10
CO;321;2015-10
CT;218.5;2015-10
DE;499;2015-10
FL;461.9;2015-10
GA;378.3;2015-10
HI;293.4;2015-10
ID;215.6;2015-10
IL;383.8;2015-10
IN;387.5;2015-10
IA;286.1;2015-10
KS;389.9;2015-10
KY;218.7;2015-10
LA;539.7;2015-10
ME;130.1;2015-10
MD;457.2;2015-10
MA;390.9;2015-10
MI;415.5;2015-10
MN;242.6;2015-10
MS;275.8;2015-10
MO;497.4;2015-10
MT;349.6;2015-10
NE;274.9;2015-10
NV;695.9;2015-10
NH;199.3;2015-10
NJ;255.4;2015-10
NM;656.1;2015-10
NY;379.7;2015-10
NC;347;2015-10
ND;239.4;2015-10
OH;291.9;2015-10
OK;422;2015-10
OR;259.8;2015-10
PA;315.1;2015-10
RI;242.5;2015-10
SC;504.5;2015-10
SD;383.1;2015-10
TN;612.1;2015-10
TX;412.2;2015-10
UT;236;2015-10
VT;118;2015-10
VA;195.6;2015-10
WA;284.4;2015-10
WV;337.9;2015-10
WI;305.8;2015-10
WY;222.1;2015-10
AL;472.4;2015-11
AK;730.2;2015-11
AZ;410.2;2015-11
AR;521.3;2015-11
CA;426.3;2015-11
CO;321;2015-11
CT;218.5;2015-11
DE;499;2015-11
FL;461.9;2015-11
GA;378.3;2015-11
HI;293.4;2015-11
ID;215.6;2015-11
IL;383.8;2015-11
IN;387.5;2015-11
IA;286.1;2015-11
KS;389.9;2015-11
KY;218.7;2015-11
LA;539.7;2015-11
ME;130.1;2015-11
MD;457.2;2015-11
MA;390.9;2015-11
MI;415.5;2015-11
MN;242.6;2015-11
MS;275.8;2015-11
MO;497.4;2015-11
MT;349.6;2015-11
NE;274.9;2015-11
NV;695.9;2015-11
NH;199.3;2015-11
NJ;255.4;2015-11
NM;656.1;2015-11
NY;379.7;2015-11
NC;347;2015-11
ND;239.4;2015-11
OH;291.9;2015-11
OK;422;2015-11
OR;259.8;2015-11
PA;315.1;2015-11
RI;242.5;2015-11
SC;504.5;2015-11
SD;383.1;2015-11
TN;612.1;2015-11
TX;412.2;2015-11
UT;236;2015-11
VT;118;2015-11
VA;195.6;2015-11
WA;284.4;2015-11
WV;337.9;2015-11
WI;305.8;2015-11
WY;222.1;2015-11
AL;472.4;2015-12
AK;730.2;2015-12
AZ;410.2;2015-12
AR;521.3;2015-12
CA;426.3;2015-12
CO;321;2015-12
CT;218.5;2015-12
DE;499;2015-12
FL;461.9;2015-12
GA;378.3;2015-12
HI;293.4;2015-12
ID;215.6;2015-12
IL;383.8;2015-12
IN;387.5;2015-12
IA;286.1;2015-12
KS;389.9;2015-12
KY;218.7;2015-12
LA;539.7;2015-12
ME;130.1;2015-12
MD;457.2;2015-12
MA;390.9;2015-12
MI;415.5;2015-12
MN;242.6;2015-12
MS;275.8;2015-12
MO;497.4;2015-12
MT;349.6;2015-12
NE;274.9;2015-12
NV;695.9;2015-12
NH;199.3;2015-12
NJ;255.4;2015-12
NM;656.1;2015-12
NY;379.7;2015-12
NC;347;2015-12
ND;239.4;2015-12
OH;291.9;2015-12
OK;422;2015-12
OR;259.8;2015-12
PA;315.1;2015-12
RI;242.5;2015-12
SC;504.5;2015-12
SD;383.1;2015-12
TN;612.1;2015-12
TX;412.2;2015-12
UT;236;2015-12
VT;118;2015-12
VA;195.6;2015-12
WA;284.4;2015-12
WV;337.9;2015-12
WI;305.8;2015-12
WY;222.1;2015-12
AL;532.3;2016-01
AK;804.2;2016-01
AZ;470.1;2016-01
AR;550.9;2016-01
CA;445.3;2016-01
CO;342.6;2016-01
CT;227.1;2016-01
DE;508.8;2016-01
FL;430.3;2016-01
GA;397.6;2016-01
HI;309.2;2016-01
ID;230.3;2016-01
IL;436.3;2016-01
IN;404.7;2016-01
IA;290.6;2016-01
KS;380.4;2016-01
KY;232.3;2016-01
LA;566.1;2016-01
ME;123.8;2016-01
MD;472;2016-01
MA;376.9;2016-01
MI;459;2016-01
MN;242.6;2016-01
MS;280.5;2016-01
MO;519.4;2016-01
MT;368.3;2016-01
NE;291;2016-01
NV;678.1;2016-01
NH;197.6;2016-01
NJ;245;2016-01
NM;702.5;2016-01
NY;376.2;2016-01
NC;372.2;2016-01
ND;251.1;2016-01
OH;300.3;2016-01
OK;449.8;2016-01
OR;264.6;2016-01
PA;316.4;2016-01
RI;238.9;2016-01
SC;501.8;2016-01
SD;418.4;2016-01
TN;632.9;2016-01
TX;434.4;2016-01
UT;242.8;2016-01
VT;158.3;2016-01
VA;217.6;2016-01
WA;302.2;2016-01
WV;358.1;2016-01
WI;305.9;2016-01
WY;244.2;2016-01
AL;532.3;2016-02
AK;804.2;2016-02
AZ;470.1;2016-02
AR;550.9;2016-02
CA;445.3;2016-02
CO;342.6;2016-02
CT;227.1;2016-02
DE;508.8;2016-02
FL;430.3;2016-02
GA;397.6;2016-02
HI;309.2;2016-02
ID;230.3;2016-02
IL;436.3;2016-02
IN;404.7;2016-02
IA;290.6;2016-02
KS;380.4;2016-02
KY;232.3;2016-02
LA;566.1;2016-02
ME;123.8;2016-02
MD;472;2016-02
MA;376.9;2016-02
MI;459;2016-02
MN;242.6;2016-02
MS;280.5;2016-02
MO;519.4;2016-02
MT;368.3;2016-02
NE;291;2016-02
NV;678.1;2016-02
NH;197.6;2016-02
NJ;245;2016-02
NM;702.5;2016-02
NY;376.2;2016-02
NC;372.2;2016-02
ND;251.1;2016-02
OH;300.3;2016-02
OK;449.8;2016-02
OR;264.6;2016-02
PA;316.4;2016-02
RI;238.9;2016-02
SC;501.8;2016-02
SD;418.4;2016-02
TN;632.9;2016-02
TX;434.4;2016-02
UT;242.8;2016-02
VT;158.3;2016-02
VA;217.6;2016-02
WA;302.2;2016-02
WV;358.1;2016-02
WI;305.9;2016-02
WY;244.2;2016-02
AL;532.3;2016-03
AK;804.2;2016-03
AZ;470.1;2016-03
AR;550.9;2016-03
CA;445.3;2016-03
CO;342.6;2016-03
CT;227.1;2016-03
DE;508.8;2016-03
FL;430.3;2016-03
GA;397.6;2016-03
HI;309.2;2016-03
ID;230.3;2016-03
IL;436.3;2016-03
IN;404.7;2016-03
