date_my;state;coef
2013-01;AK;0.07
2013-01;AL;0.075
2013-01;AR;0.074
2013-01;AZ;0.079
2013-01;CA;0.096
2013-01;CO;0.074
2013-01;CT;0.082
2013-01;DE;0.072
2013-01;FL;0.079
2013-01;GA;0.087
2013-01;HI;0.051
2013-01;IA;0.049
2013-01;ID;0.067
2013-01;IL;0.092
2013-01;IN;0.085
2013-01;KS;0.056
2013-01;KY;0.081
2013-01;LA;0.07
2013-01;MA;0.068
2013-01;MD;0.069
2013-01;ME;0.071
2013-01;MI;0.091
2013-01;MN;0.053
2013-01;MO;0.069
2013-01;MS;0.089
2013-01;MT;0.056
2013-01;NC;0.089
2013-01;ND;0.031
2013-01;NE;0.039
2013-01;NH;0.055
2013-01;NJ;0.09
2013-01;NM;0.07
2013-01;NV;0.104
2013-01;NY;0.081
2013-01;OH;0.075
2013-01;OK;0.053
2013-01;OR;0.085
2013-01;PA;0.079
2013-01;RI;0.095
2013-01;SC;0.084
2013-01;SD;0.04
2013-01;TN;0.079
2013-01;TX;0.065
2013-01;UT;0.05
2013-01;VA;0.058
2013-01;VT;0.046
2013-01;WA;0.074
2013-01;WI;0.07
2013-01;WV;0.073
2013-01;WY;0.051
2013-02;AK;0.07
2013-02;AL;0.074
2013-02;AR;0.074
2013-02;AZ;0.079
2013-02;CA;0.094
2013-02;CO;0.073
2013-02;CT;0.081
2013-02;DE;0.071
2013-02;FL;0.078
2013-02;GA;0.086
2013-02;HI;0.051
2013-02;IA;0.049
2013-02;ID;0.066
2013-02;IL;0.093
2013-02;IN;0.084
2013-02;KS;0.055
2013-02;KY;0.081
2013-02;LA;0.071
2013-02;MA;0.069
2013-02;MD;0.068
2013-02;ME;0.071
2013-02;MI;0.091
2013-02;MN;0.052
2013-02;MO;0.068
2013-02;MS;0.089
2013-02;MT;0.056
2013-02;NC;0.088
2013-02;ND;0.031
2013-02;NE;0.039
2013-02;NH;0.054
2013-02;NJ;0.089
2013-02;NM;0.07
2013-02;NV;0.103
2013-02;NY;0.081
2013-02;OH;0.076
2013-02;OK;0.053
2013-02;OR;0.084
2013-02;PA;0.078
2013-02;RI;0.094
2013-02;SC;0.084
2013-02;SD;0.039
2013-02;TN;0.08
2013-02;TX;0.065
2013-02;UT;0.049
2013-02;VA;0.058
2013-02;VT;0.045
2013-02;WA;0.073
2013-02;WI;0.07
2013-02;WV;0.071
2013-02;WY;0.05
2013-03;AK;0.07
2013-03;AL;0.073
2013-03;AR;0.074
2013-03;AZ;0.079
2013-03;CA;0.093
2013-03;CO;0.072
2013-03;CT;0.081
2013-03;DE;0.071
2013-03;FL;0.076
2013-03;GA;0.086
2013-03;HI;0.05
2013-03;IA;0.049
2013-03;ID;0.065
2013-03;IL;0.093
2013-03;IN;0.083
2013-03;KS;0.055
2013-03;KY;0.081
2013-03;LA;0.072
2013-03;MA;0.069
2013-03;MD;0.068
2013-03;ME;0.07
2013-03;MI;0.09
2013-03;MN;0.052
2013-03;MO;0.068
2013-03;MS;0.089
2013-03;MT;0.055
2013-03;NC;0.086
2013-03;ND;0.03
2013-03;NE;0.039
2013-03;NH;0.053
2013-03;NJ;0.087
2013-03;NM;0.069
2013-03;NV;0.102
2013-03;NY;0.08
2013-03;OH;0.076
2013-03;OK;0.054
2013-03;OR;0.083
2013-03;PA;0.077
2013-03;RI;0.093
2013-03;SC;0.082
2013-03;SD;0.039
2013-03;TN;0.081
2013-03;TX;0.065
2013-03;UT;0.048
2013-03;VA;0.058
2013-03;VT;0.045
2013-03;WA;0.073
2013-03;WI;0.07
2013-03;WV;0.069
2013-03;WY;0.049
2013-04;AK;0.07
2013-04;AL;0.072
2013-04;AR;0.074
2013-04;AZ;0.079
2013-04;CA;0.092
2013-04;CO;0.071
2013-04;CT;0.08
2013-04;DE;0.07
2013-04;FL;0.075
2013-04;GA;0.085
2013-04;HI;0.049
2013-04;IA;0.049
2013-04;ID;0.064
2013-04;IL;0.092
2013-04;IN;0.081
2013-04;KS;0.055
2013-04;KY;0.081
2013-04;LA;0.071
2013-04;MA;0.069
2013-04;MD;0.067
2013-04;ME;0.069
2013-04;MI;0.089
2013-04;MN;0.051
2013-04;MO;0.068
2013-04;MS;0.088
2013-04;MT;0.055
2013-04;NC;0.084
2013-04;ND;0.03
2013-04;NE;0.039
2013-04;NH;0.052
2013-04;NJ;0.086
2013-04;NM;0.069
2013-04;NV;0.1
2013-04;NY;0.079
2013-04;OH;0.076
2013-04;OK;0.054
2013-04;OR;0.081
2013-04;PA;0.076
2013-04;RI;0.093
2013-04;SC;0.081
2013-04;SD;0.039
2013-04;TN;0.08
2013-04;TX;0.065
2013-04;UT;0.048
2013-04;VA;0.058
2013-04;VT;0.045
2013-04;WA;0.072
2013-04;WI;0.069
2013-04;WV;0.068
2013-04;WY;0.048
2013-05;AK;0.07
2013-05;AL;0.071
2013-05;AR;0.074
2013-05;AZ;0.078
2013-05;CA;0.091
2013-05;CO;0.071
2013-05;CT;0.079
2013-05;DE;0.069
2013-05;FL;0.074
2013-05;GA;0.084
2013-05;HI;0.049
2013-05;IA;0.049
2013-05;ID;0.063
2013-05;IL;0.092
2013-05;IN;0.08
2013-05;KS;0.054
2013-05;KY;0.081
2013-05;LA;0.07
2013-05;MA;0.069
2013-05;MD;0.067
2013-05;ME;0.068
2013-05;MI;0.089
2013-05;MN;0.05
2013-05;MO;0.068
2013-05;MS;0.087
2013-05;MT;0.055
2013-05;NC;0.082
2013-05;ND;0.03
2013-05;NE;0.038
2013-05;NH;0.051
2013-05;NJ;0.085
2013-05;NM;0.069
2013-05;NV;0.099
2013-05;NY;0.078
2013-05;OH;0.075
2013-05;OK;0.053
2013-05;OR;0.08
2013-05;PA;0.075
2013-05;RI;0.093
2013-05;SC;0.079
2013-05;SD;0.038
2013-05;TN;0.08
2013-05;TX;0.064
2013-05;UT;0.047
2013-05;VA;0.057
2013-05;VT;0.045
2013-05;WA;0.071
2013-05;WI;0.068
2013-05;WV;0.067
2013-05;WY;0.047
2013-06;AK;0.07
2013-06;AL;0.07
2013-06;AR;0.073
2013-06;AZ;0.078
2013-06;CA;0.09
2013-06;CO;0.07
2013-06;CT;0.079
2013-06;DE;0.068
2013-06;FL;0.073
2013-06;GA;0.083
2013-06;HI;0.048
2013-06;IA;0.048
2013-06;ID;0.062
2013-06;IL;0.091
2013-06;IN;0.078
2013-06;KS;0.054
2013-06;KY;0.081
2013-06;LA;0.069
2013-06;MA;0.069
2013-06;MD;0.066
2013-06;ME;0.067
2013-06;MI;0.088
2013-06;MN;0.05
2013-06;MO;0.068
2013-06;MS;0.086
2013-06;MT;0.055
2013-06;NC;0.081
2013-06;ND;0.029
2013-06;NE;0.038
2013-06;NH;0.051
2013-06;NJ;0.084
2013-06;NM;0.069
2013-06;NV;0.097
2013-06;NY;0.078
2013-06;OH;0.075
2013-06;OK;0.053
2013-06;OR;0.079
2013-06;PA;0.074
2013-06;RI;0.093
2013-06;SC;0.078
2013-06;SD;0.038
2013-06;TN;0.079
2013-06;TX;0.063
2013-06;UT;0.046
2013-06;VA;0.057
2013-06;VT;0.045
2013-06;WA;0.071
2013-06;WI;0.068
2013-06;WV;0.066
2013-06;WY;0.047
2013-07;AK;0.07
2013-07;AL;0.071
2013-07;AR;0.073
2013-07;AZ;0.078
2013-07;CA;0.089
2013-07;CO;0.069
2013-07;CT;0.078
2013-07;DE;0.066
2013-07;FL;0.072
2013-07;GA;0.082
2013-07;HI;0.048
2013-07;IA;0.047
2013-07;ID;0.061
2013-07;IL;0.091
2013-07;IN;0.076
2013-07;KS;0.053
2013-07;KY;0.081
2013-07;LA;0.068
2013-07;MA;0.068
2013-07;MD;0.066
2013-07;ME;0.066
2013-07;MI;0.088
2013-07;MN;0.049
2013-07;MO;0.068
2013-07;MS;0.085
2013-07;MT;0.054
2013-07;NC;0.079
2013-07;ND;0.029
2013-07;NE;0.038
2013-07;NH;0.05
2013-07;NJ;0.083
2013-07;NM;0.069
2013-07;NV;0.096
2013-07;NY;0.077
2013-07;OH;0.076
2013-07;OK;0.053
2013-07;OR;0.078
2013-07;PA;0.073
2013-07;RI;0.093
2013-07;SC;0.076
2013-07;SD;0.038
2013-07;TN;0.078
2013-07;TX;0.063
2013-07;UT;0.046
2013-07;VA;0.057
2013-07;VT;0.044
2013-07;WA;0.07
2013-07;WI;0.067
2013-07;WV;0.066
2013-07;WY;0.046
2013-08;AK;0.07
2013-08;AL;0.071
2013-08;AR;0.072
2013-08;AZ;0.077
2013-08;CA;0.088
2013-08;CO;0.068
2013-08;CT;0.078
2013-08;DE;0.065
2013-08;FL;0.07
2013-08;GA;0.081
2013-08;HI;0.048
2013-08;IA;0.047
2013-08;ID;0.06
2013-08;IL;0.091
2013-08;IN;0.075
2013-08;KS;0.053
2013-08;KY;0.081
2013-08;LA;0.066
2013-08;MA;0.067
2013-08;MD;0.065
2013-08;ME;0.065
2013-08;MI;0.088
2013-08;MN;0.049
2013-08;MO;0.067
2013-08;MS;0.084
2013-08;MT;0.054
2013-08;NC;0.077
2013-08;ND;0.028
2013-08;NE;0.037
2013-08;NH;0.05
2013-08;NJ;0.081
2013-08;NM;0.069
2013-08;NV;0.094
2013-08;NY;0.077
2013-08;OH;0.075
2013-08;OK;0.053
2013-08;OR;0.077
2013-08;PA;0.073
2013-08;RI;0.093
2013-08;SC;0.074
2013-08;SD;0.037
2013-08;TN;0.078
2013-08;TX;0.062
2013-08;UT;0.045
2013-08;VA;0.057
2013-08;VT;0.044
2013-08;WA;0.07
2013-08;WI;0.066
2013-08;WV;0.066
2013-08;WY;0.046
2013-09;AK;0.07
2013-09;AL;0.072
2013-09;AR;0.071
2013-09;AZ;0.077
2013-09;CA;0.087
2013-09;CO;0.066
2013-09;CT;0.077
2013-09;DE;0.064
2013-09;FL;0.069
2013-09;GA;0.079
2013-09;HI;0.048
2013-09;IA;0.046
2013-09;ID;0.059
2013-09;IL;0.09
2013-09;IN;0.072
2013-09;KS;0.052
2013-09;KY;0.08
2013-09;LA;0.064
2013-09;MA;0.066
2013-09;MD;0.064
2013-09;ME;0.064
2013-09;MI;0.087
2013-09;MN;0.048
2013-09;MO;0.066
2013-09;MS;0.083
2013-09;MT;0.053
2013-09;NC;0.075
2013-09;ND;0.028
2013-09;NE;0.037
2013-09;NH;0.049
2013-09;NJ;0.079
2013-09;NM;0.07
2013-09;NV;0.092
2013-09;NY;0.076
2013-09;OH;0.074
2013-09;OK;0.053
2013-09;OR;0.076
2013-09;PA;0.071
2013-09;RI;0.092
2013-09;SC;0.072
2013-09;SD;0.037
2013-09;TN;0.076
2013-09;TX;0.061
2013-09;UT;0.044
2013-09;VA;0.057
2013-09;VT;0.043
2013-09;WA;0.069
2013-09;WI;0.066
2013-09;WV;0.066
2013-09;WY;0.046
2013-10;AK;0.07
2013-10;AL;0.072
2013-10;AR;0.07
2013-10;AZ;0.076
2013-10;CA;0.086
2013-10;CO;0.064
2013-10;CT;0.075
2013-10;DE;0.063
2013-10;FL;0.068
2013-10;GA;0.078
2013-10;HI;0.048
2013-10;IA;0.045
2013-10;ID;0.057
2013-10;IL;0.088
2013-10;IN;0.07
2013-10;KS;0.051
2013-10;KY;0.079
2013-10;LA;0.062
2013-10;MA;0.065
2013-10;MD;0.063
2013-10;ME;0.063
2013-10;MI;0.086
2013-10;MN;0.047
2013-10;MO;0.066
2013-10;MS;0.082
2013-10;MT;0.053
2013-10;NC;0.073
2013-10;ND;0.028
2013-10;NE;0.036
2013-10;NH;0.049
2013-10;NJ;0.077
2013-10;NM;0.07
2013-10;NV;0.091
2013-10;NY;0.074
2013-10;OH;0.073
2013-10;OK;0.052
2013-10;OR;0.075
2013-10;PA;0.07
2013-10;RI;0.092
2013-10;SC;0.07
2013-10;SD;0.037
2013-10;TN;0.074
2013-10;TX;0.06
2013-10;UT;0.043
2013-10;VA;0.056
2013-10;VT;0.043
2013-10;WA;0.068
2013-10;WI;0.065
2013-10;WV;0.067
2013-10;WY;0.046
2013-11;AK;0.07
2013-11;AL;0.072
2013-11;AR;0.069
2013-11;AZ;0.075
2013-11;CA;0.084
2013-11;CO;0.063
2013-11;CT;0.074
2013-11;DE;0.062
2013-11;FL;0.067
2013-11;GA;0.077
2013-11;HI;0.048
2013-11;IA;0.045
2013-11;ID;0.056
2013-11;IL;0.087
2013-11;IN;0.067
2013-11;KS;0.05
2013-11;KY;0.078
2013-11;LA;0.06
2013-11;MA;0.064
2013-11;MD;0.063
2013-11;ME;0.062
2013-11;MI;0.084
2013-11;MN;0.047
2013-11;MO;0.066
2013-11;MS;0.081
2013-11;MT;0.052
2013-11;NC;0.071
2013-11;ND;0.028
2013-11;NE;0.036
2013-11;NH;0.048
2013-11;NJ;0.075
2013-11;NM;0.07
2013-11;NV;0.089
2013-11;NY;0.073
2013-11;OH;0.071
2013-11;OK;0.052
2013-11;OR;0.074
2013-11;PA;0.068
2013-11;RI;0.091
2013-11;SC;0.068
2013-11;SD;0.036
2013-11;TN;0.072
2013-11;TX;0.059
2013-11;UT;0.043
2013-11;VA;0.056
2013-11;VT;0.042
2013-11;WA;0.067
2013-11;WI;0.063
2013-11;WV;0.068
2013-11;WY;0.045
2013-12;AK;0.07
2013-12;AL;0.073
2013-12;AR;0.068
2013-12;AZ;0.074
2013-12;CA;0.083
2013-12;CO;0.061
2013-12;CT;0.073
2013-12;DE;0.062
2013-12;FL;0.067
2013-12;GA;0.076
2013-12;HI;0.048
2013-12;IA;0.045
2013-12;ID;0.054
2013-12;IL;0.085
2013-12;IN;0.065
2013-12;KS;0.049
2013-12;KY;0.077
2013-12;LA;0.058
2013-12;MA;0.063
2013-12;MD;0.062
2013-12;ME;0.062
2013-12;MI;0.083
2013-12;MN;0.047
2013-12;MO;0.066
2013-12;MS;0.081
2013-12;MT;0.051
2013-12;NC;0.07
2013-12;ND;0.028
2013-12;NE;0.036
2013-12;NH;0.048
2013-12;NJ;0.073
2013-12;NM;0.069
2013-12;NV;0.088
2013-12;NY;0.071
2013-12;OH;0.069
2013-12;OK;0.051
2013-12;OR;0.073
2013-12;PA;0.067
2013-12;RI;0.09
2013-12;SC;0.066
2013-12;SD;0.036
2013-12;TN;0.071
2013-12;TX;0.058
2013-12;UT;0.042
2013-12;VA;0.055
2013-12;VT;0.042
2013-12;WA;0.066
2013-12;WI;0.062
2013-12;WV;0.068
2013-12;WY;0.045
2014-01;AK;0.07
2014-01;AL;0.072
2014-01;AR;0.066
2014-01;AZ;0.073
2014-01;CA;0.082
2014-01;CO;0.06
2014-01;CT;0.072
2014-01;DE;0.061
2014-01;FL;0.066
2014-01;GA;0.075
2014-01;HI;0.047
2014-01;IA;0.044
2014-01;ID;0.053
2014-01;IL;0.083
2014-01;IN;0.064
2014-01;KS;0.048
2014-01;KY;0.075
2014-01;LA;0.057
2014-01;MA;0.062
2014-01;MD;0.061
2014-01;ME;0.061
2014-01;MI;0.081
2014-01;MN;0.046
2014-01;MO;0.067
2014-01;MS;0.08
2014-01;MT;0.05
2014-01;NC;0.068
2014-01;ND;0.027
2014-01;NE;0.035
2014-01;NH;0.047
2014-01;NJ;0.072
2014-01;NM;0.069
2014-01;NV;0.086
2014-01;NY;0.07
2014-01;OH;0.066
2014-01;OK;0.05
2014-01;OR;0.073
2014-01;PA;0.065
2014-01;RI;0.088
2014-01;SC;0.064
2014-01;SD;0.036
2014-01;TN;0.068
2014-01;TX;0.057
2014-01;UT;0.041
2014-01;VA;0.055
2014-01;VT;0.041
2014-01;WA;0.065
2014-01;WI;0.061
2014-01;WV;0.069
2014-01;WY;0.044
2014-02;AK;0.07
2014-02;AL;0.072
2014-02;AR;0.065
2014-02;AZ;0.071
2014-02;CA;0.08
2014-02;CO;0.058
2014-02;CT;0.07
2014-02;DE;0.061
2014-02;FL;0.066
2014-02;GA;0.074
2014-02;HI;0.046
2014-02;IA;0.044
2014-02;ID;0.052
2014-02;IL;0.081
2014-02;IN;0.063
2014-02;KS;0.048
2014-02;KY;0.074
2014-02;LA;0.057
2014-02;MA;0.061
2014-02;MD;0.06
2014-02;ME;0.06
2014-02;MI;0.08
2014-02;MN;0.046
2014-02;MO;0.067
2014-02;MS;0.08
2014-02;MT;0.049
2014-02;NC;0.067
2014-02;ND;0.027
2014-02;NE;0.035
2014-02;NH;0.046
2014-02;NJ;0.071
2014-02;NM;0.069
2014-02;NV;0.085
2014-02;NY;0.068
2014-02;OH;0.064
2014-02;OK;0.049
2014-02;OR;0.073
2014-02;PA;0.064
2014-02;RI;0.087
2014-02;SC;0.063
2014-02;SD;0.035
2014-02;TN;0.067
2014-02;TX;0.055
2014-02;UT;0.04
2014-02;VA;0.054
2014-02;VT;0.041
2014-02;WA;0.064
2014-02;WI;0.059
2014-02;WV;0.068
2014-02;WY;0.043
2014-03;AK;0.07
2014-03;AL;0.072
2014-03;AR;0.063
2014-03;AZ;0.07
2014-03;CA;0.079
2014-03;CO;0.056
2014-03;CT;0.069
2014-03;DE;0.06
2014-03;FL;0.066
2014-03;GA;0.073
2014-03;HI;0.046
2014-03;IA;0.044
2014-03;ID;0.051
2014-03;IL;0.078
2014-03;IN;0.062
2014-03;KS;0.047
2014-03;KY;0.072
2014-03;LA;0.057
2014-03;MA;0.06
2014-03;MD;0.06
2014-03;ME;0.059
2014-03;MI;0.078
2014-03;MN;0.045
2014-03;MO;0.066
2014-03;MS;0.079
2014-03;MT;0.049
2014-03;NC;0.066
2014-03;ND;0.027
2014-03;NE;0.035
2014-03;NH;0.046
2014-03;NJ;0.069
2014-03;NM;0.069
2014-03;NV;0.084
2014-03;NY;0.067
2014-03;OH;0.062
2014-03;OK;0.048
2014-03;OR;0.072
2014-03;PA;0.062
2014-03;RI;0.084
2014-03;SC;0.062
2014-03;SD;0.035
2014-03;TN;0.066
2014-03;TX;0.054
2014-03;UT;0.039
2014-03;VA;0.054
2014-03;VT;0.04
2014-03;WA;0.063
2014-03;WI;0.058
2014-03;WV;0.068
2014-03;WY;0.042
2014-04;AK;0.07
2014-04;AL;0.071
2014-04;AR;0.062
2014-04;AZ;0.069
2014-04;CA;0.078
2014-04;CO;0.054
2014-04;CT;0.068
2014-04;DE;0.06
2014-04;FL;0.065
2014-04;GA;0.073
2014-04;HI;0.045
2014-04;IA;0.043
2014-04;ID;0.05
2014-04;IL;0.076
2014-04;IN;0.062
2014-04;KS;0.047
2014-04;KY;0.07
2014-04;LA;0.059
2014-04;MA;0.059
2014-04;MD;0.059
2014-04;ME;0.058
2014-04;MI;0.077
2014-04;MN;0.044
2014-04;MO;0.065
2014-04;MS;0.078
2014-04;MT;0.048
2014-04;NC;0.065
2014-04;ND;0.026
2014-04;NE;0.034
2014-04;NH;0.045
2014-04;NJ;0.068
2014-04;NM;0.068
2014-04;NV;0.082
2014-04;NY;0.066
2014-04;OH;0.06
2014-04;OK;0.047
2014-04;OR;0.071
2014-04;PA;0.061
2014-04;RI;0.082
2014-04;SC;0.063
2014-04;SD;0.035
2014-04;TN;0.066
2014-04;TX;0.053
2014-04;UT;0.038
2014-04;VA;0.054
2014-04;VT;0.04
2014-04;WA;0.062
2014-04;WI;0.057
2014-04;WV;0.067
2014-04;WY;0.042
2014-05;AK;0.07
2014-05;AL;0.07
2014-05;AR;0.061
2014-05;AZ;0.069
2014-05;CA;0.077
2014-05;CO;0.052
2014-05;CT;0.067
2014-05;DE;0.059
2014-05;FL;0.064
2014-05;GA;0.073
2014-05;HI;0.045
2014-05;IA;0.043
2014-05;ID;0.049
2014-05;IL;0.073
2014-05;IN;0.061
2014-05;KS;0.046
2014-05;KY;0.068
2014-05;LA;0.061
2014-05;MA;0.059
2014-05;MD;0.059
2014-05;ME;0.057
2014-05;MI;0.076
2014-05;MN;0.043
2014-05;MO;0.063
2014-05;MS;0.077
2014-05;MT;0.047
2014-05;NC;0.065
2014-05;ND;0.026
2014-05;NE;0.034
2014-05;NH;0.044
2014-05;NJ;0.067
2014-05;NM;0.068
2014-05;NV;0.081
2014-05;NY;0.065
2014-05;OH;0.059
2014-05;OK;0.046
2014-05;OR;0.07
2014-05;PA;0.06
2014-05;RI;0.08
2014-05;SC;0.063
2014-05;SD;0.035
2014-05;TN;0.067
2014-05;TX;0.052
2014-05;UT;0.038
2014-05;VA;0.053
2014-05;VT;0.04
2014-05;WA;0.062
2014-05;WI;0.055
2014-05;WV;0.067
2014-05;WY;0.041
2014-06;AK;0.07
2014-06;AL;0.069
2014-06;AR;0.06
2014-06;AZ;0.068
2014-06;CA;0.075
2014-06;CO;0.05
2014-06;CT;0.066
2014-06;DE;0.058
2014-06;FL;0.063
2014-06;GA;0.073
2014-06;HI;0.044
2014-06;IA;0.043
2014-06;ID;0.048
2014-06;IL;0.071
2014-06;IN;0.06
2014-06;KS;0.046
2014-06;KY;0.065
2014-06;LA;0.063
2014-06;MA;0.058
2014-06;MD;0.059
2014-06;ME;0.057
2014-06;MI;0.074
2014-06;MN;0.041
2014-06;MO;0.062
2014-06;MS;0.076
2014-06;MT;0.047
2014-06;NC;0.064
2014-06;ND;0.026
2014-06;NE;0.033
2014-06;NH;0.043
2014-06;NJ;0.067
2014-06;NM;0.067
2014-06;NV;0.079
2014-06;NY;0.064
2014-06;OH;0.058
2014-06;OK;0.045
2014-06;OR;0.068
2014-06;PA;0.059
2014-06;RI;0.078
2014-06;SC;0.064
2014-06;SD;0.034
2014-06;TN;0.067
2014-06;TX;0.052
2014-06;UT;0.038
2014-06;VA;0.053
2014-06;VT;0.039
2014-06;WA;0.061
2014-06;WI;0.054
2014-06;WV;0.066
